Regulated entity RN number,County,Regulated entity name,contaminants,quantity_1000s,report_ids,units
RN103919817,HARRIS,CHEVRON PHILLIPS CHEMICAL CEDAR BAYOU PLANT,"1,3-butadiene • acetylene • benzene • butane • butene • c5+ (not including benzene) • carbon monoxide • co • decene • dodecene • ethyl benzene • ethylbenzene • ethylene (gaseous) • hexane • hexene • isobutane • isoprene • nox • octene • pentane • pentene • propane • propylene • propylene (propene) • toluene • voc • voc (unspeciated) • xylene",745.47,266261 • 266262,lbs
RN100217389,JEFFERSON,FLINT HILLS RESOURCES PORT ARTHUR FACILITY,"1,3-butadiene • acetylene • benzene • butanes • butenes, all isomers • carbon monoxide • ethylbenzene • ethylene (gaseous) • indane • indene • isobutylene • isoprene • naphthalene • nitrogen dioxide • nitrogen oxide • pentadiene • pentanes • propadiene • propane • propylene • styrene • toluene • voc • xylene • xylenes",533.45,266301 • 266378,lbs
RN100224815,HARRIS,PASADENA TERMINAL,"1 c,2t,3-trimethylcyclopentane • 1,2,4-trimethylbenzene • 1,2-butadiene • 1,3-butadiene • 1,3-methylethylbenzene • 1-butene • 2,2,3-trimethylpentane • 2,2,5-trimethylhexane • 2-methylbutene-2 • 2-methylpentane • 3-ethylpentene-2 • benzene • butane • butenes, all isomers • cis-butene-2 • cyclohexane • cyclopentane • cyclopentene • ethane • heptane (or n-) • hexane • hexane, 3-methyl- • hexene • isobutane • isobutylene • isopentane • isoprene • methylcyclohexane • pentane • pentene • toluene • trans-2-hexene • trans-butene-2 • trimethylpentane, 2,2,4- • unspeciated vocs • voc (unspeciated) • xylene",406.56,266269 • 266556,lbs
RN102579307,HARRIS,EXXON MOBIL BAYTOWN REFINERY,"1,3-butadiene • ammonia • benzene • butane • butene • carbon disulfide • carbon monoxide • carbonyl sulfide • cis-2-butene • ethylene (gaseous) • hydrogen cyanide • hydrogen sulfide • isobutane • nitrogen oxides (nox) • nox • pm (unspeciated) • propane • propylene (propene) • sulfur dioxide • toluene • trans-2-butene • voc • voc( unspeciated) • xylene, m-",383.85,266277 • 266294,lbs
RN100825249,BRAZORIA,CHEVRON PHILLIPS CHEMICAL SWEENY OLD OCEAN FACILITIES,"1,3-butadiene • acetylene • benzene • butanes • butenes, all isomers • c5+ (not including benzene) • carbon monoxide • ethylene (gaseous) • nox • propane • propylene",222.73,266372,lbs
RN100210608,GALVESTON,MARATHON PETROLEUM TEXAS CITY REFINERY,"ammonia • benzene • butadiene • butane, i • butane, n- • butene • butenes • c6+ • carbon monoxide • cis-2-butene • ethane • ethyl methyl disulfide • ethylene (gaseous) • hydrofluoric acid • hydrogen sulfide • isobutane • isopentane • methane • methyl disulfide • methyl mercaptan • nitrogen oxides (nox) • nox • particulate matter • pentane, n- • pentene • propane • propylene • sulfur dioxide • toluene • trans-2-butene • voc( unspeciated) • xylene",201.51,266376 • 266570,lbs
RN100238708,BRAZORIA,CHOCOLATE BAYOU PLANT,"1,3-butadiene • butene • carbon monoxide • ethane • ethylene (gaseous) • methane • nitrogen oxides • pentene • propane • propylene (propene)",152.72,266271,lbs
RN102450756,JEFFERSON,EXXONMOBIL BEAUMONT REFINERY,carbon monoxide • hydrogen sulfide • nitrogen oxides (nox) • sulfur dioxide • voc (unspeciated),108.69,266314 • 266516,lbs
RN100235266,NUECES,FHR CORPUS CHRISTI WEST PLANT,benzene • carbon monoxide • hydrogen sulfide • nitrogen dioxide • sulfur dioxide • voc (unspeciated),108.51,266120 • 266278,lbs
RN100218973,CALHOUN,FORMOSA POINT COMFORT PLANT,acetylene • benzene • butadiene • butane • butene • carbon dioxide • carbon monoxide • cyclopentadiene • ethane • ethylene (gaseous) • heptane (or n-) • hexane • hydrogen • hydrogen sulfide • isoprene • methane • methyl acetylene • nitrogen dioxide • nitrogen oxides • nonane • octane • pentane • pentene • propadiene • propane • propylene (propene) • styrene • toluene • xylene,91.84,266124,lbs
RN100209451,JEFFERSON,PORT ARTHUR REFINERY,carbon monoxide • hydrogen sulfide • nitrogen oxides (nox) • sulfur dioxide • vocs,73.76,266550,lbs
RN102457520,JEFFERSON,TOTAL PETRO CHEMICALS & REFINING USA PORT ARTHUR REFINERY,carbon monoxide • hydrogen sulfide • nitrogen oxide • other material • particulate matter • pm10 • sulfur dioxide • voc,70.11,266549,lbs
RN100225945,BRAZORIA,DOW TEXAS OPERATIONS FREEPORT,"1,3-butadiene • 1-butene • benzene • butadiene, 1-3 • butane, n- • carbon monoxide • cis-2-butene • ethylene (gaseous) • hexane • isobutane • isobutylene • isopentane • nitrogen oxides • pentane, n- • propane • propylene • toluene",54.14,266292,lbs
RN102534138,NUECES,FLINT HILLS RESOURCES EAST REFINERY,benzene • carbon monoxide • hydrogen sulfide • oxides of nitrogen (nox) • sulfur dioxide • voc (unspeciated),53.75,266114,lbs
RN100209857,JEFFERSON,CHEVRON PHILLIPS CHEMICAL PORT ARTHUR FACILITY,"acetylene • benzene • butadiene, 1-3 • butene • co • cyclohexane • ethylene (gaseous) • isobutane • nox • other vocs • propane • propylene (propene)",34.59,266458,lbs
RN102323268,CHAMBERS,ENTERPRISE MONT BELVIEU COMPLEX,butane • c5+ (not including benzene) • carbon monoxide • isobutane • n-butane • nitrogen oxide • propane • propylene (propene),33.33,266280 • 266324 • 266483,lbs
RN102190139,NUECES,JAVELINA GAS PROCESSING FACILITY,ammonia • butanes • carbon monoxide • ethylene (gaseous) • nitrogen oxide • propane • propylene (propene),31.0,266176,lbs
RN102555166,NUECES,CITGO CORPUS CHRISTI REFINERY EAST PLANT,benzene • carbon monoxide • hydrogen sulfide • nitrogen oxides • sulfur dioxide • voc,28.45,266194,lbs
RN102212925,HARRIS,EXXON MOBIL CHEMICAL BAYTOWN OLEFINS PLANT,"1,3-butadiene • acetylene • benzene • butane, n- • carbon monoxide • cis-2-butene • ethylene (gaseous) • isobutane • isobutene • nitrogen oxides • propane • propylene (propene) • trans-2-butene • voc (unspeciated)",28.1,266279,lbs
RN100836329,WASHINGTON,LONG POINT COMPRESSOR STATION,natural gas,14.09,266290 • 266367,lbs
RN100221662,NUECES,EQUISTAR CORPUS CHRISTI PLANT,carbon monoxide • ethylene (gaseous) • nitrogen oxides (nox),10.3,266177,lbs
RN102018322,HARRIS,PASADENA PLASTICS COMPLEX,"butane, n- • butene • carbon monoxide • ethylene (gaseous) • hexane • hexene • isobutane • nitrogen oxides • propane",9.64,266352,lbs
RN100238799,NUECES,CITGO CORPUS CHRISTI REFINERY - WEST PLANT,benzene • carbon monoxide • hydrogen sulfide • nox • other (vocs) • sulfur dioxide,8.52,266195,lbs
RN100219526,HARRIS,HOUSTON PLANT,butadiene • butane • butene • carbon monoxide • cis-butene-2 • ethane • isobutane • isobutylene • nitrogen oxide • pentane • propane • propylene (propene) • trans-butene-2 • voc,5.95,266260,lbs
RN106241391,LIVE OAK,SUGARLOAF STABILIZATION FACILITY,voc - nonmethane,5.7,266425,lbs
RN100542281,HARRIS,EQUISTAR CHEMICALS CHANNELVIEW COMPLEX,"1,3-butadiene • benzene • butadiene, 1-3 • butenes, all isomers • carbon monoxide • ethylene (gaseous) • nitrogen oxides (nox) • propylene (propene) • toluene • voc",5.16,266423,lbs
RN104964267,JEFFERSON,TPC GROUP PORT NECHES OPERATIONS,"1,3-butadiene • carbon monoxide • nox • vocs",3.51,266466,lbs
RN100210319,HARRIS,EQUISTAR CHEMICALS LA PORTE COMPLEX,"1,3-butadiene • acetylene • benzene • butane • butene • carbon monoxide • ethane • ethylene (gaseous) • hydrogen • isobutane • methane • nitrogen dioxide • nitrogen oxide • other c5's + • propane • propylene (propene)",3.42,266329,lbs
RN100219310,HARRIS,VALERO PARTNERS HOUSTON,benzene • unspeciated vocs,3.36,266275,lbs
RN100219351,GALVESTON,UNION CARBIDE TEXAS CITY,"ethylene, gaseous",1.09,266454,lbs
RN101619179,BRAZORIA,SWEENY REFINERY,carbon monoxide • hydrogen sulfide • nox (startup/shutdown) • sulfur dioxide • voc (unspeciated),0.92,266328,lbs
RN100716661,HARRIS,PASADENA REFINING SYSTEM,particulate matter,0.72,266264,lbs
RN100211879,HARRIS,SHELL OIL DEER PARK,benzene • toluene • xylene (mixed isomers),0.51,266266 • 266341,lbs
RN107585671,ATASCOSA,MARS PRODUCTION FACILITY,sulfur dioxide,0.5,266274,lbs
RN100227016,HARRIS,CELANESE CLEAR LAKE PLANT,ethylene (gaseous) • ethylene oxide,0.38,266268,lbs
RN100221134,BRAZORIA,FREEPORT TERMINAL,nitrogen oxides (nox) • propane,0.3,266338,lbs
RN108772245,BRAZORIA,BLUE CUBE OPERATIONS FREEPORT,ethylene dichloride • hydrogen chloride • vinyl chloride,0.16,266382,lbs
RN100634922,JEFFERSON,BASF BEAUMONT AGRO PLANT,voc mixture,0.1,266429,lbs
RN101062610,HARRIS,PASADENA PRODUCT TERMINAL,benzene • voc (light hydrocarbons),0.05,266263 • 266276 • 266558,lbs
RN102181526,CALHOUN,UCC SEADRIFT OPERATIONS,ethylene oxide,0.01,266571,lbs
